"COL0","COL1","COL2","COL3"
"35200459","35","Ontario",328.00
"35200460","35","Ontario",525.00
"35200463","35","Ontario",548.00
"35200464","35","Ontario",659.00
"35200465","35","Ontario",663.00
"35200466","35","Ontario",504.00
"35200467","35","Ontario",652.00
"35200468","35","Ontario",581.00
"35200469","35","Ontario",485.00
"35200470","35","Ontario",575.00
"35200471","35","Ontario",1368.00
"35200472","35","Ontario",636.00
"35200475","35","Ontario",532.00
"35200478","35","Ontario",502.00
"35200479","35","Ontario",537.00
"35200480","35","Ontario",400.00
"35200481","35","Ontario",401.00
"35200482","35","Ontario",426.00
"35200483","35","Ontario",451.00
"35200484","35","Ontario",748.00
"35200488","35","Ontario",383.00
"35200489","35","Ontario",358.00
"35200490","35","Ontario",350.00
"35200491","35","Ontario",474.00
"35200492","35","Ontario",282.00
"35200493","35","Ontario",314.00
"35200494","35","Ontario",379.00
"35200495","35","Ontario",478.00
"35200497","35","Ontario",951.00
"35200498","35","Ontario",518.00
"35200499","35","Ontario",934.00
"35200505","35","Ontario",443.00
"35200506","35","Ontario",396.00
"35200510","35","Ontario",425.00
"35200511","35","Ontario",461.00
"35200512","35","Ontario",409.00
"35200513","35","Ontario",413.00
"35200514","35","Ontario",473.00
"35200515","35","Ontario",476.00
"35200516","35","Ontario",449.00
"35200517","35","Ontario",521.00
"35200518","35","Ontario",495.00
"35200519","35","Ontario",410.00
"35200520","35","Ontario",555.00
"35200521","35","Ontario",579.00
"35200522","35","Ontario",567.00
"35200523","35","Ontario",574.00
"35200524","35","Ontario",507.00
"35200525","35","Ontario",446.00
"35200529","35","Ontario",786.00
"35200531","35","Ontario",685.00
"35200532","35","Ontario",439.00
"35200533","35","Ontario",264.00
"35200534","35","Ontario",525.00
"35200535","35","Ontario",440.00
"35200536","35","Ontario",998.00
"35200538","35","Ontario",2241.00
"35200539","35","Ontario",1004.00
"35200540","35","Ontario",496.00
"35200541","35","Ontario",1192.00
"35200542","35","Ontario",502.00
"35200545","35","Ontario",257.00
"35200561","35","Ontario",782.00
"35200562","35","Ontario",521.00
"35200563","35","Ontario",480.00
"35200564","35","Ontario",584.00
"35200565","35","Ontario",528.00
"35200566","35","Ontario",529.00
"35200567","35","Ontario",578.00
"35200568","35","Ontario",497.00
"35200569","35","Ontario",600.00
"35200570","35","Ontario",473.00
"35200571","35","Ontario",576.00
"35200572","35","Ontario",575.00
"35200573","35","Ontario",528.00
"35200574","35","Ontario",438.00
"35200575","35","Ontario",562.00
"35200576","35","Ontario",740.00
"35200577","35","Ontario",563.00
"35200578","35","Ontario",358.00
"35200579","35","Ontario",730.00
"35200580","35","Ontario",497.00
"35200581","35","Ontario",375.00
"35200582","35","Ontario",806.00
"35200583","35","Ontario",799.00
"35200584","35","Ontario",498.00
"35200585","35","Ontario",449.00
"35200586","35","Ontario",569.00
"35200587","35","Ontario",721.00
"35200588","35","Ontario",759.00
"35200589","35","Ontario",639.00
"35200590","35","Ontario",500.00
"35200591","35","Ontario",578.00
"35200593","35","Ontario",740.00
"35200594","35","Ontario",516.00
"35200595","35","Ontario",467.00
"35200596","35","Ontario",615.00
"35200597","35","Ontario",370.00
"35200598","35","Ontario",403.00
"35200599","35","Ontario",547.00
"35200600","35","Ontario",434.00
"35200601","35","Ontario",415.00
"35200602","35","Ontario",456.00
"35200603","35","Ontario",685.00
"35200604","35","Ontario",581.00
"35200605","35","Ontario",700.00
"35200606","35","Ontario",420.00
"35200610","35","Ontario",320.00
"35200611","35","Ontario",526.00
"35200612","35","Ontario",639.00
"35200639","35","Ontario",1939.00
"35200640","35","Ontario",566.00
"35200641","35","Ontario",1015.00
"35200642","35","Ontario",426.00
"35200643","35","Ontario",510.00
"35200644","35","Ontario",478.00
"35200645","35","Ontario",474.00
"35200646","35","Ontario",435.00
"35200647","35","Ontario",458.00
"35200648","35","Ontario",512.00
"35200649","35","Ontario",530.00
"35200650","35","Ontario",742.00
"35200651","35","Ontario",715.00
"35200652","35","Ontario",608.00
"35200653","35","Ontario",428.00
"35200654","35","Ontario",1917.00
"35200655","35","Ontario",529.00
"35200656","35","Ontario",419.00
"35200657","35","Ontario",875.00
"35200658","35","Ontario",552.00
"35200659","35","Ontario",417.00
"35200660","35","Ontario",752.00
"35200661","35","Ontario",711.00
"35200662","35","Ontario",778.00
"35200663","35","Ontario",289.00
"35200664","35","Ontario",731.00
"35200665","35","Ontario",847.00
"35200666","35","Ontario",754.00
"35200667","35","Ontario",472.00
"35200668","35","Ontario",325.00
"35200669","35","Ontario",368.00
"35200670","35","Ontario",525.00
"35200671","35","Ontario",418.00
"35200672","35","Ontario",301.00
"35200673","35","Ontario",608.00
"35200674","35","Ontario",945.00
"35200675","35","Ontario",583.00
"35200676","35","Ontario",631.00
"35200677","35","Ontario",516.00
"35200678","35","Ontario",689.00
"35200679","35","Ontario",553.00
"35200680","35","Ontario",849.00
"35200681","35","Ontario",564.00
"35200682","35","Ontario",434.00
"35200683","35","Ontario",814.00
"35200686","35","Ontario",1014.00
"35200687","35","Ontario",491.00
"35200688","35","Ontario",451.00
"35200689","35","Ontario",372.00
"35200690","35","Ontario",409.00
"35200691","35","Ontario",282.00
"35200692","35","Ontario",320.00
"35200693","35","Ontario",475.00
"35200694","35","Ontario",577.00
"35200695","35","Ontario",601.00
"35200696","35","Ontario",321.00
"35200697","35","Ontario",522.00
"35200698","35","Ontario",303.00
"35200699","35","Ontario",421.00
"35200700","35","Ontario",302.00
"35200701","35","Ontario",488.00
"35200702","35","Ontario",577.00
"35200703","35","Ontario",631.00
"35200704","35","Ontario",523.00
"35200705","35","Ontario",969.00
"35200706","35","Ontario",450.00
"35200707","35","Ontario",394.00
"35200708","35","Ontario",504.00
"35200709","35","Ontario",526.00
"35200710","35","Ontario",511.00
"35200711","35","Ontario",464.00
"35200712","35","Ontario",749.00
"35200713","35","Ontario",447.00
"35200714","35","Ontario",409.00
"35200715","35","Ontario",419.00
"35200716","35","Ontario",343.00
"35200717","35","Ontario",471.00
"35200718","35","Ontario",1410.00
"35200719","35","Ontario",961.00
"35200720","35","Ontario",562.00
"35200724","35","Ontario",623.00
"35200725","35","Ontario",638.00
"35200726","35","Ontario",412.00
"35200727","35","Ontario",508.00
"35200728","35","Ontario",1060.00
"35200729","35","Ontario",364.00
"35200730","35","Ontario",339.00
"35200731","35","Ontario",463.00
"35200732","35","Ontario",601.00
"35200733","35","Ontario",542.00
"35200734","35","Ontario",365.00
"35200735","35","Ontario",440.00
"35200736","35","Ontario",370.00
"35200737","35","Ontario",406.00
"35200738","35","Ontario",451.00
"35200739","35","Ontario",601.00
"35200740","35","Ontario",521.00
"35200741","35","Ontario",635.00
"35200744","35","Ontario",893.00
"35200745","35","Ontario",635.00
"35200746","35","Ontario",976.00
"35200747","35","Ontario",546.00
"35200748","35","Ontario",569.00
"35200749","35","Ontario",504.00
"35200750","35","Ontario",494.00
"35200751","35","Ontario",548.00
"35200752","35","Ontario",386.00
"35200753","35","Ontario",640.00
"35200754","35","Ontario",726.00
"35200755","35","Ontario",446.00
"35200756","35","Ontario",840.00
"35200757","35","Ontario",684.00
"35200768","35","Ontario",397.00
"35200769","35","Ontario",448.00
"35200770","35","Ontario",729.00
"35200771","35","Ontario",910.00
"35200772","35","Ontario",849.00
"35200774","35","Ontario",454.00
"35200782","35","Ontario",2267.00
"35200783","35","Ontario",520.00
"35200791","35","Ontario",430.00
"35200792","35","Ontario",702.00
"35200794","35","Ontario",544.00
"35200795","35","Ontario",448.00
"35200796","35","Ontario",479.00
"35200797","35","Ontario",428.00
"35200798","35","Ontario",439.00
"35200801","35","Ontario",1873.00
"35200802","35","Ontario",655.00
"35200803","35","Ontario",546.00
"35200804","35","Ontario",5.00
"35200805","35","Ontario",1703.00
"35200806","35","Ontario",507.00
"35200807","35","Ontario",197.00
"35200808","35","Ontario",417.00
"35200809","35","Ontario",258.00
"35200810","35","Ontario",466.00
"35200811","35","Ontario",981.00
"35200812","35","Ontario",508.00
"35200813","35","Ontario",328.00
"35200814","35","Ontario",1089.00
"35200815","35","Ontario",657.00
"35200821","35","Ontario",637.00
"35200822","35","Ontario",907.00
"35200826","35","Ontario",1096.00
"35200827","35","Ontario",415.00
"35200828","35","Ontario",558.00
"35200829","35","Ontario",0.00
"35200830","35","Ontario",1252.00
"35200831","35","Ontario",590.00
"35200832","35","Ontario",646.00
"35200833","35","Ontario",806.00
"35200855","35","Ontario",1242.00
"35200859","35","Ontario",323.00
"35200860","35","Ontario",766.00
"35200861","35","Ontario",526.00
"35200862","35","Ontario",402.00
"35200863","35","Ontario",411.00
"35200864","35","Ontario",406.00
"35200865","35","Ontario",687.00
"35200866","35","Ontario",436.00
"35200867","35","Ontario",928.00
"35200868","35","Ontario",409.00
"35200869","35","Ontario",663.00
"35200870","35","Ontario",1887.00
"35200876","35","Ontario",436.00
"35200877","35","Ontario",416.00
"35200878","35","Ontario",652.00
"35200879","35","Ontario",468.00
"35200880","35","Ontario",505.00
"35200881","35","Ontario",408.00
"35200882","35","Ontario",353.00
"35200883","35","Ontario",450.00
"35200884","35","Ontario",519.00
"35200885","35","Ontario",523.00
"35200886","35","Ontario",757.00
"35200887","35","Ontario",585.00
"35200888","35","Ontario",737.00
"35200889","35","Ontario",661.00
"35200890","35","Ontario",588.00
"35200891","35","Ontario",332.00
"35200892","35","Ontario",631.00
"35200893","35","Ontario",290.00
"35200894","35","Ontario",518.00
"35200895","35","Ontario",551.00
"35200896","35","Ontario",354.00
"35200897","35","Ontario",632.00
"35200898","35","Ontario",562.00
"35200899","35","Ontario",427.00
"35200900","35","Ontario",491.00
"35200901","35","Ontario",403.00
"35200902","35","Ontario",674.00
"35200903","35","Ontario",400.00
"35200905","35","Ontario",511.00
"35200906","35","Ontario",1231.00
"35200907","35","Ontario",430.00
"35200908","35","Ontario",483.00
"35200909","35","Ontario",665.00
"35200910","35","Ontario",596.00
"35200911","35","Ontario",375.00
"35200912","35","Ontario",363.00
"35200913","35","Ontario",658.00
"35200914","35","Ontario",574.00
"35200915","35","Ontario",726.00
"35200916","35","Ontario",561.00
"35200917","35","Ontario",355.00
"35200918","35","Ontario",233.00
"35200919","35","Ontario",383.00
"35200920","35","Ontario",636.00
"35200921","35","Ontario",532.00
"35200922","35","Ontario",522.00
"35200923","35","Ontario",341.00
"35200924","35","Ontario",322.00
"35200925","35","Ontario",374.00
"35200926","35","Ontario",370.00
"35200927","35","Ontario",399.00
"35200928","35","Ontario",367.00
"35200929","35","Ontario",373.00
"35200930","35","Ontario",460.00
"35200931","35","Ontario",382.00
"35200932","35","Ontario",408.00
"35200933","35","Ontario",373.00
"35200934","35","Ontario",574.00
"35200935","35","Ontario",377.00
"35200936","35","Ontario",316.00
"35200937","35","Ontario",399.00
"35200938","35","Ontario",323.00
"35200939","35","Ontario",402.00
"35200940","35","Ontario",285.00
"35200941","35","Ontario",358.00
"35200942","35","Ontario",596.00
"35200943","35","Ontario",242.00
"35200944","35","Ontario",457.00
"35200945","35","Ontario",507.00
"35200946","35","Ontario",456.00
"35200949","35","Ontario",564.00
"35200950","35","Ontario",495.00
"35200951","35","Ontario",611.00
"35200952","35","Ontario",1481.00
"35200953","35","Ontario",226.00
"35200954","35","Ontario",374.00
"35200955","35","Ontario",1359.00
"35200956","35","Ontario",399.00
"35200957","35","Ontario",1193.00
"35200958","35","Ontario",779.00
"35200959","35","Ontario",653.00
"35200960","35","Ontario",380.00
"35200961","35","Ontario",427.00
"35200962","35","Ontario",515.00
"35200963","35","Ontario",421.00
"35200965","35","Ontario",384.00
"35200966","35","Ontario",417.00
"35200967","35","Ontario",657.00
"35200968","35","Ontario",721.00
"35200969","35","Ontario",486.00
"35200974","35","Ontario",777.00
"35200975","35","Ontario",424.00
"35200976","35","Ontario",844.00
"35200977","35","Ontario",581.00
"35200979","35","Ontario",525.00
"35200981","35","Ontario",467.00
"35200983","35","Ontario",342.00
"35200985","35","Ontario",427.00
"35200986","35","Ontario",512.00
"35200987","35","Ontario",538.00
"35200988","35","Ontario",603.00
"35200989","35","Ontario",640.00
"35200990","35","Ontario",520.00
"35200991","35","Ontario",428.00
"35200992","35","Ontario",398.00
"35200993","35","Ontario",280.00
"35200994","35","Ontario",500.00
"35200995","35","Ontario",301.00
"35200996","35","Ontario",300.00
"35200997","35","Ontario",689.00
"35200998","35","Ontario",422.00
"35200999","35","Ontario",547.00
"35201000","35","Ontario",720.00
"35201001","35","Ontario",571.00
"35201002","35","Ontario",625.00
"35201003","35","Ontario",580.00
"35201004","35","Ontario",391.00
"35201005","35","Ontario",546.00
"35201006","35","Ontario",580.00
"35201007","35","Ontario",369.00
"35201008","35","Ontario",394.00
"35201009","35","Ontario",414.00
"35201010","35","Ontario",725.00
"35201011","35","Ontario",320.00
"35201012","35","Ontario",394.00
"35201013","35","Ontario",338.00
"35201014","35","Ontario",613.00
"35201015","35","Ontario",700.00
"35201016","35","Ontario",563.00
"35201017","35","Ontario",405.00
"35201018","35","Ontario",424.00
"35201019","35","Ontario",468.00
"35201020","35","Ontario",520.00
"35201023","35","Ontario",684.00
"35201024","35","Ontario",579.00
"35201025","35","Ontario",594.00
"35201026","35","Ontario",454.00
"35201027","35","Ontario",688.00
"35201028","35","Ontario",517.00
"35201029","35","Ontario",894.00
"35201030","35","Ontario",463.00
"35201031","35","Ontario",772.00
"35201032","35","Ontario",556.00
"35201033","35","Ontario",698.00
"35201034","35","Ontario",340.00
"35201035","35","Ontario",650.00
"35201036","35","Ontario",560.00
"35201038","35","Ontario",629.00
"35201039","35","Ontario",1281.00
"35201040","35","Ontario",534.00
"35201041","35","Ontario",840.00
"35201044","35","Ontario",568.00
"35201045","35","Ontario",426.00
"35201046","35","Ontario",565.00
"35201047","35","Ontario",585.00
"35201048","35","Ontario",609.00
"35201049","35","Ontario",787.00
"35201050","35","Ontario",316.00
"35201051","35","Ontario",667.00
"35201052","35","Ontario",546.00
"35201053","35","Ontario",474.00
"35201054","35","Ontario",665.00
"35201055","35","Ontario",912.00
"35201056","35","Ontario",490.00
"35201057","35","Ontario",679.00
"35201058","35","Ontario",513.00
"35201059","35","Ontario",519.00
"35201060","35","Ontario",391.00
"35201061","35","Ontario",531.00
"35201062","35","Ontario",299.00
"35201063","35","Ontario",779.00
"35201064","35","Ontario",640.00
"35201065","35","Ontario",602.00
"35201066","35","Ontario",615.00
"35201067","35","Ontario",421.00
"35201068","35","Ontario",768.00
"35201069","35","Ontario",477.00
"35201070","35","Ontario",369.00
"35201071","35","Ontario",501.00
"35201072","35","Ontario",582.00
"35201073","35","Ontario",656.00
"35201076","35","Ontario",598.00
"35201077","35","Ontario",446.00
"35201078","35","Ontario",938.00
"35201079","35","Ontario",564.00
"35201080","35","Ontario",452.00
"35201081","35","Ontario",389.00
"35201104","35","Ontario",467.00
"35201105","35","Ontario",416.00
"35201106","35","Ontario",561.00
"35201107","35","Ontario",814.00
"35201109","35","Ontario",616.00
"35201110","35","Ontario",827.00
"35201111","35","Ontario",527.00
"35201112","35","Ontario",464.00
"35201113","35","Ontario",493.00
"35201114","35","Ontario",540.00
"35201122","35","Ontario",286.00
"35201123","35","Ontario",348.00
"35201124","35","Ontario",438.00
"35201125","35","Ontario",416.00
"35201126","35","Ontario",333.00
"35201127","35","Ontario",576.00
"35201128","35","Ontario",417.00
"35201129","35","Ontario",576.00
"35201130","35","Ontario",363.00
"35201131","35","Ontario",666.00
"35201132","35","Ontario",721.00
"35201133","35","Ontario",523.00
"35201134","35","Ontario",521.00
"35201139","35","Ontario",688.00
"35201140","35","Ontario",439.00
"35201141","35","Ontario",544.00
"35201142","35","Ontario",521.00
"35201143","35","Ontario",548.00
"35201144","35","Ontario",283.00
"35201145","35","Ontario",627.00
"35201146","35","Ontario",341.00
"35201147","35","Ontario",404.00
"35201148","35","Ontario",430.00
"35201149","35","Ontario",310.00
"35201150","35","Ontario",354.00
"35201151","35","Ontario",326.00
"35201152","35","Ontario",397.00
"35201153","35","Ontario",504.00
"35201154","35","Ontario",546.00
"35201155","35","Ontario",413.00
"35201156","35","Ontario",482.00
"35201157","35","Ontario",367.00
"35201158","35","Ontario",856.00
"35201159","35","Ontario",730.00
"35201160","35","Ontario",374.00
"35201161","35","Ontario",263.00
"35201162","35","Ontario",632.00
"35201163","35","Ontario",242.00
"35201164","35","Ontario",410.00
"35201165","35","Ontario",599.00
"35201166","35","Ontario",420.00
"35201167","35","Ontario",844.00
"35201168","35","Ontario",497.00
"35201169","35","Ontario",431.00
"35201170","35","Ontario",506.00
"35201171","35","Ontario",381.00
"35201172","35","Ontario",516.00
"35201173","35","Ontario",404.00
"35201174","35","Ontario",473.00
"35201175","35","Ontario",516.00
"35201176","35","Ontario",436.00
"35201177","35","Ontario",463.00
"35201178","35","Ontario",468.00
"35201179","35","Ontario",517.00
"35201180","35","Ontario",524.00
